Name,AUID,Coords,Const,Type,Period,Mag
"KELT KC18C020225","--","04 09 51.37 +47 30 26.1","Per","EA","3.0442684","8.95 (0.027) V"
"KELT KC18C021784","--","05 11 11.18 +54 27 21.9","Aur","EA","25.20863","12.35 (0.060) V"
"KELT KC18C023716","--","05 18 27.00 +54 08 58.9","Aur","EA","2.434069","11.74 (0.027) V"
"KELT KC18C024356","--","06 24 57.65 +44 29 04.1","Aur","EA","2.266176","11.49 (0.008)r' V"
"KELT KC18C025294","--","06 19 29.37 +46 30 27.6","Aur","EA","2.433019","12.19 (0.028)i V"
"KELT KC18C030621","--","04 05 47.43 +52 14 06.3","Per","EA","3.479345","10.42 (0.007)I V"
"KELT KC18C030881","000-BQJ-253","04 16 38.93 +49 18 14.9","Per","EA","3.193253","11.13 (0.057) V"
"KELT KC19C006026","--","07 10 40.80 +46 03 43.8","Lyn","EA","2.737575","9.66 (0.020) V"
"KELT KC19C008106","--","08 47 28.18 +46 27 52.0","Lyn","EA","15.46458","11.21 (0.030) V"
"KELT KC19C008247","--","07 42 37.86 +47 04 21.4","Lyn","EA:","5.63156","12.18 (0.020) V"
"KELT KC19C018211","--","08 29 34.79 +66 00 01.1","UMa","EA","5.26038","11.91 (0.035) V"
"KELT KC19C020060","--","07 25 50.04 +59 40 14.7","Lyn","EA","1.528452","11.72 (0.018)r' V"
"KELT KC19C020136","--","09 09 26.36 +55 38 36.9","UMa","EA","0.6284996","10.93 (0.006) V"
"KELT KC19C021784","--","06 34 41.84 +60 10 11.8","Lyn","EA","0.9208804","11.21 (0.016) V"
"KELT KC19C022359","--","07 23 53.29 +49 55 03.1","Lyn","EA","3.959736","11.55 (0.035) V"
"KELT KC20C03848","--","11 31 09.37 +61 24 17.7","UMa","EA","1.842314","10.98 (0.014) V"
"KELT KC20C03992","--","11 46 33.90 +59 19 03.0","UMa","EA","13.12254","12.18 (0.046) V"
"KELT KC20C04626","--","11 15 11.51 +51 21 53.1","UMa","EA","8.76729","11.49 (0.023) V"
"KELT KC20C05018","--","11 03 36.59 +48 44 27.3","UMa","EA","3.243756","10.62 (0.014) V"
"KELT KC20C05718","--","10 21 26.95 +47 52 14.7","UMa","EA","12.38818","8.82 (0.018) V"
"KELT KC20C07707","--","10 27 14.32 +46 42 53.2","UMa","EA","14.9161","8.99 (0.007) V"
"KELT KC20C11511","--","11 30 50.36 +61 49 42.5","UMa","EA","4.54656","12.02 (0.005) V"
"KELT KC20C12499","--","09 25 47.66 +49 27 15.0","UMa","EA","3.325584","11.47 (0.022) V"
"KELT KC20C22262","--","09 45 00.87 +68 47 06.3","UMa","EA","2.879757","9.65 (0.020) V"
"KELT KC20C22596","--","09 45 19.02 +65 44 27.7","UMa","EA","2.323134","11.40 (0.019) V"
"KELT KC21C00851","--","15 18 51.28 +63 09 16.4","Dra","EA","1.69626","8.44 (0.009) V"
"KELT KC21C04360","--","13 08 49.37 +68 38 28.6","Dra","EA","3.72686","10.51 (0.017) V"
"KELT KC21C07807","--","12 53 40.94 +63 36 11.5","Dra","EA","4.551873","11.45 (0.027) V"
"KELT KC21C08994","--","13 38 10.97 +56 20 25.0","UMa","EA","16.65951","11.40 (0.019) V"
"KELT KC21C11486","--","13 23 21.76 +50 49 36.3","CVn","EA","2.70761","11.57 (0.030) V"
"KELT KC21C13259","--","13 31 09.03 +45 02 21.6","CVn","EA","2.710148","12.33 (0.018) V"
"KELT KC21C15600","--","12 46 24.72 +56 26 14.2","UMa","EA","2.957751","12.12 (0.031) V"
"KELT KC22C05105","--","16 26 10.11 +57 23 25.7","Dra","EA","9.12763","10.61 (0.014) V"
"KELT KC22C07202","--","16 22 00.15 +46 09 19.7","Her","EA","2.646864","11.85 (0.026) V"
"KELT KC22C07252","--","17 05 25.78 +55 43 28.1","Dra","EA","23.51526","12.66 (0.037) V"
"KELT KC22C09694_ING","--","15 12 40.60 +60 08 05.0","Dra","EA","7.996208","8.80 (0.011) V"
"KELT KC22C11853","--","15 47 52.82 +60 53 05.4","Dra","EA","2.349952","10.93 (0.021) V"
"KELT KC22C11923","--","16 40 40.39 +49 31 11.9","Her","EA","6.206212","10.38 (0.011) V"
"KELT KC22C18110","--","16 06 57.32 +55 26 13.6","Dra","EA","4.020534","8.35 (0.009) V"
"KELT KC22C19988","--","15 01 43.20 +46 55 55.7","Boo","EA","17.28303","10.80 (0.013) V"
"KELT KC23C009329","--","18 34 06.24 +67 19 00.3","Dra","EA","2.045884","10.67 (0.007) V"
"KELT KC23C011839","--","18 12 52.03 +46 18 51.6","Her","EA","2.524689","11.97 (0.031) V"
"KELT KC24C001749","--","21 51 03.30 +54 30 07.8","Cyg","EA","4.941309353","10.82 (0.011) V"
"KELT KC24C002512","--","21 52 20.94 +58 38 32.3","Cep","EA","17.8200076","10.25 (0.007) V"
"KELT KC24C004738","--","20 19 12.05 +53 15 55.9","Cyg","EA","3.539557081","10.08 (0.008) V"
"KELT KC24C006680","--","22 07 57.90 +67 45 51.4","Cep","EA","2.668173922","10.97 (0.012) V"
"KELT KC24C006720","--","19 53 27.06 +60 52 04.8","Dra","EA","4.199188977","10.88 (0.016) V"
"KELT KC24C009593","--","21 31 35.63 +50 28 23.1","Cyg","EA","2.738883764","9.35 (0.014)R V"
"KELT KC24C010197","--","20 02 18.59 +58 59 22.9","Cyg","EA","2.732642728","10.96 (0.008)i' V"
"KELT KC24C010630","--","21 05 48.28 +67 49 05.4","Cep","EA","3.71386","10.85 (0.007) V"
"KELT KC24C012334","--","21 07 27.12 +62 04 44.4","Cep","EA","0.779630587","10.37 (0.006) V"
"KELT KC24C015704","--","20 27 24.12 +57 22 12.4","Cyg","EA","2.841960306","11.35 (0.012) V"
"KELT KC24C016299","--","21 50 28.00 +48 02 18.6","Cyg","EA","1.742954744","10.77 (0.014) V"
"KELT KC24C016496","--","21 09 03.05 +62 58 49.3","Cep","EA","8.763080971","9.51 (0.013) V"
"KELT KC24C021370","--","20 28 03.22 +45 09 16.7","Cyg","EA","2.061674959","11.05 (0.010) V"
"KELT KC24C023061","--","22 54 06.61 +57 36 36.2","Cep","EA","2.059957375","9.06 (0.003)i' V"
"KELT KC24C026840","--","22 39 49.16 +52 59 56.4","Lac","EA","3.680029801","10.82 (0.014) V"
"KELT KC24C029242","--","22 23 38.69 +46 17 00.7","Lac","EA","2.343737298","11.59 (0.012)r' V"
"KELT KC24C030633","--","22 35 59.72 +56 26 02.1","Lac","EA","1.518364796","10.41 (0.008) V"
"KELT KC24C031263","--","22 10 34.45 +47 54 49.6","Lac","EA","1.863972605","7.45 (0.027)B V"
"KELT KC24C032390","--","22 43 58.28 +58 38 20.5","Cep","EA","1.545336711","10.90 (0.009) V"
"KELT KC24C033540","--","21 30 48.00 +48 27 25.4","Cyg","EA","0.72087192","8.50 (0.018) V"
"KELT KC24C034741","--","21 48 01.04 +54 55 36.0","Cyg","EA","2.554867078","11.94 (0.012)R V"
"KELT KC24C036463","--","20 04 08.43 +55 25 34.2","Cyg","EA","6.463424969","11.03 (0.015) V"
"KELT KC24C037689","--","21 32 18.89 +51 25 29.2","Cyg","EA","1.459356619","11.64 (0.007)R V"
"KELT KC24C038101","--","20 44 59.79 +54 15 52.1","Cyg","EA","0.89156249","10.72 (0.003)r' V"
"KELT KC24C041569","--","21 35 28.46 +50 36 04.1","Cyg","EA","0.230015115","11.50 (0.015) V"
"KELT KC24C043315","--","22 16 16.04 +51 57 28.6","Lac","EA","12.57274231","10.79 (0.026) V"
"KELT KC26C14066","--","04 55 55.20 +76 01 06.5","Cam","EA","7.31266","10.80 (0.013) V"
"KELT KC26C19393","--","06 14 28.56 +67 26 07.1","Cam","EA","2.38678","12.32 (0.018)clear V"
"KELT KC26C21290","--","07 23 36.70 +79 07 57.1","Cam","EA","13.21767","9.26 (0.029) V"
"KELT KC26C26596","--","07 20 06.91 +79 32 47.8","Cam","EA","3.1146","11.82 (0.018)i V"
"KELT KEBC18C010377","--","04 33 01.27 +47 25 18.9","Per","EA","24.87872","10.90 (0.021)i V"
"KELT KEBMMN01C066569","--","00 33 05.51 +42 00 05.0","And","EA","3.61208","10.91 (0.073)i V"
"KELT KEBMMS14C073519","--","19 08 45.32 -05 02 17.5","Aql","EA","1.538658","14.32 (0.100) V"
