Name,AUID,Coords,Const,Type,Period,Mag
"NSV 5732","000-BKH-794","12 34 42.06 -64 33 45.8","Cru","--","--","15.5 - 16.5 U"
"NSV 5735","000-BKH-795","12 34 52.23 -64 43 58.6","Mus","--","--","15.5 - 16.0 U"
"NSV 5736","--","12 34 59.57 -62 30 36.1","Cru","--","--","13.9 - 14.9 U"
"NSV 5737","--","12 34 52.09 +42 22 03.7","CVn","CST","--","11.48 - ? V"
"NSV 5738","--","12 34 09.41 +74 22 42.2","Dra","--","--","13.0 - ? p"
"NSV 5739","000-BKH-796","12 35 09.71 -64 45 57.4","Mus","--","--","14.5 - 15.0 U"
"NSV 5740","--","12 34 47.76 +26 49 44.6","Com","CST","--","10.11 - ? V"
"NSV 5742","--","12 34 52.62 +36 31 06.4","CVn","--","--","13.1 - ? p"
"NSV 5744","--","12 35 24.22 -62 11 43.4","Cru","--","--","15.0 - 16.0 U"
"NSV 5747","--","12 35 29.38 -62 43 27.3","Cru","--","--","14.0 - 14.5 U"
"NSV 5750","--","12 35 35.65 -63 46 47.0","Cru","--","--","14.9 - 15.4 U"
"NSV 5752","--","12 35 42.95 -63 08 38.5","Cru","--","--","14.9 - 15.4 U"
"NSV 5753","--","12 35 17.53 +42 33 57.2","CVn","--","--","11.3 - ? p"
"NSV 5755","--","12 35 49.87 +23 26 06.4","Com","CST","--","10.59 - ? V"
"NSV 5759","--","12 35 59.48 -63 26 32.3","Cru","--","--","15.0 - 15.5 U"
"NSV 576","--","01 38 30.14 -22 55 12.0","Cet","--","--","9.7 - ? V"
"NSV 5761","--","12 36 13.83 -62 46 18.4","Cru","--","--","15.5 - 16.5 U"
"NSV 5762","--","12 35 28.95 +73 37 47.6","Dra","--","--","11.2 - ? p"
"NSV 5763","000-BKH-797","12 36 19.40 -64 25 48.4","Cru","--","--","13.8 - 14.3 U"
"NSV 5764","--","12 36 25.86 -62 33 23.6","Cru","--","--","14.8 - 15.3 U"
"NSV 5765","--","12 36 24.41 -63 58 59.3","Cru","--","--","13.0 - 14.0 U"
"NSV 5768","000-BKH-802","12 36 40.56 -64 50 32.9","Mus","--","--","14.5 - 15.0 U"
"NSV 5773","--","12 36 36.59 +12 54 28.8","Vir","--","--","11.4 - ? p"
"NSV 5774","000-BKH-799","12 36 56.12 -64 38 45.9","Cru","--","--","13.8 - 14.3 U"
"NSV 5775","--","12 36 49.98 -33 24 18.3","Hya","--","--","9.97 - ? V"
"NSV 5778","--","12 37 06.85 -64 06 36.5","Cru","--","--","14.5 - 15.0 U"
"NSV 5782","--","12 37 16.22 -63 47 35.6","Cru","--","--","14.4 - 14.9 U"
"NSV 5785","--","12 37 22.66 -64 17 36.7","Cru","--","--","14.0 - 15.0 U"
"NSV 5788","000-BKH-801","12 37 33.43 -64 29 40.2","Cru","--","--","14.3 - 14.8 U"
"NSV 579","--","01 39 16.57 -29 01 20.8","Scl","--","--","7.41 - ? V"
"NSV 5790","--","12 37 50.23 -62 20 31.5","Cru","--","--","13.6 - 14.1 U"
"NSV 5793","--","12 38 06.11 -64 41 03.2","Cru","--","--","16.0 - 16.5 U"
"NSV 5794","--","12 38 03.58 -62 52 40.0","Cru","--","--","14.1 - 14.6 U"
"NSV 5796","--","12 37 47.61 +48 15 22.1","CVn","CST","--","11.25 - ? V"
"NSV 5797","--","12 38 11.68 -63 25 18.8","Cru","--","--","14.9 - 15.4 U"
"NSV 580","--","01 40 03.15 +44 25 22.5","And","--","--","13.0 - ? p"
"NSV 5800","--","12 38 14.94 +26 21 28.1","Com","CST","--","10.16 - ? V"
"NSV 5801","--","12 38 34.95 -63 31 48.3","Cru","--","--","14.7 - 15.2 U"
"NSV 5803","--","12 38 36.10 -62 35 24.9","Cru","--","--","14.3 - 14.8 U"
"NSV 5804","--","12 38 42.79 -64 39 58.9","Cru","--","--","14.4 - 15.4 U"
"NSV 5805","--","12 38 45.70 -64 00 35.4","Cru","--","--","14.5 - 15.5 U"
"NSV 5806","--","12 38 51.18 -64 50 42.0","Mus","--","--","16.0 - 16.5 U"
"NSV 5807","--","12 38 51.24 -63 18 42.0","Cru","--","--","14.3 - 14.8 U"
"NSV 5810","--","12 39 00.41 -62 40 18.2","Cru","--","--","14.3 - 14.8 U"
"NSV 5811","--","12 39 01.02 -63 48 54.3","Cru","--","--","15.2 - 15.7 U"
"NSV 5812","--","12 38 50.95 -33 15 32.1","Hya","--","--","14.2 - ? p"
"NSV 5814","--","12 39 05.66 -64 51 27.7","Mus","--","--","14.2 - 14.7 U"
"NSV 5815","--","12 38 50.07 +09 16 05.8","Vir","CST","--","13.7 - ? p"
"NSV 5816","--","12 38 53.39 +12 36 17.3","Vir","CST","--","14.5 - ? p"
"NSV 5819","--","12 38 19.16 +74 05 37.0","Dra","--","--","12.7 - ? p"
"NSV 5820","--","12 39 17.42 -62 29 31.3","Cru","--","--","13.8 - 14.8 U"
"NSV 5822","--","12 39 03.46 -30 25 20.6","Hya","--","--","5.88 - ? V"
"NSV 5823","--","12 39 17.16 -63 32 55.7","Cru","--","--","14.9 - 15.4 U"
"NSV 5824","--","12 39 20.38 -64 22 03.0","Cru","--","--","14.2 - 15.2 U"
"NSV 5826","--","12 39 29.09 -64 55 03.7","Mus","--","--","14.0 - 15.0 U"
"NSV 5827","000-BBT-071","12 38 46.52 +59 30 48.8","UMa","CST","--","10.86 - ? V"
"NSV 5828","--","12 39 07.34 +13 14 33.6","Vir","--","--","9.7 - ? V"
"NSV 5829","--","12 39 30.63 -63 09 37.7","Cru","--","--","15.0 - 15.5 U"
"NSV 5833","--","12 39 52.76 -64 36 31.1","Cru","--","--","15.3 - 15.8 U"
"NSV 5834","--","12 40 01.66 -63 53 33.3","Cru","--","--","14.2 - 14.7 U"
"NSV 5836","--","12 40 09.12 -62 05 25.1","Cru","--","--","15.3 - 15.8 U"
"NSV 5837","--","12 40 15.76 -63 56 31.1","Cru","--","--","14.5 - 15.5 U"
"NSV 5839","--","12 40 24.79 -64 06 53.4","Cru","--","--","13.7 - 14.7 U"
"NSV 5844","--","12 40 47.40 -64 36 23.9","Cru","--","--","14.7 - 15.2 U"
"NSV 5845","--","12 40 50.29 -63 27 46.5","Cru","--","--","15.5 - 16.5 U"
"NSV 5846","--","12 40 41.60 +22 58 17.9","Com","CST","--","9.68 - ? V"
"NSV 585","--","01 40 15.71 -06 37 42.8","Cet","--","--","10.3 - ? p"
"NSV 5851","--","12 40 55.46 -34 33 52.5","Cen","--","--","10.5 - ? V"
"NSV 5852","--","12 41 10.42 -63 59 28.9","Cru","--","--","13.4 - 13.9 U"
"NSV 5856","--","12 41 46.29 -63 00 04.9","Cru","--","--","13.8 - 14.8 U"
"NSV 5859","--","12 41 39.64 -01 26 57.8","Vir","CST","--","2.74 - ? V"
"NSV 586","--","01 40 47.32 +41 36 27.5","And","--","--","10.5 - ? p"
"NSV 5860","--","12 41 05.56 +74 33 11.4","Dra","--","--","13.1 - ? p"
"NSV 5862","--","12 42 09.06 -63 28 07.4","Cru","--","--","13.5 - 14.0 U"
"NSV 5863","--","12 42 10.54 -63 30 31.1","Cru","--","--","15.2 - 16.2 U"
"NSV 5865","--","12 41 16.35 +74 24 01.8","Dra","--","--","12.9 - ? p"
"NSV 5871","--","12 42 04.58 +32 51 46.7","CVn","--","--","9.03 - ? V"
"NSV 5875","--","12 42 34.41 -24 36 50.0","Hya","--","--","8.6 - ? p"
"NSV 5876","--","12 42 53.53 -64 51 29.3","Mus","--","--","16.0 - <17 U"
"NSV 5877","--","12 43 01.77 -64 48 23.0","Mus","--","--","16.0 - <17 U"
"NSV 5878","--","12 43 03.80 -64 34 52.5","Cru","--","--","14.0 - 14.5 U"
"NSV 5880","--","12 43 05.30 -63 31 21.0","Cru","--","--","14.1 - 15.1 U"
"NSV 5883","--","12 43 09.76 -63 00 08.1","Cru","--","--","13.9 - 14.4 U"
"NSV 5885","--","12 43 03.47 +24 30 54.5","Com","CST","--","10.90 - ? V"
"NSV 5886","--","12 43 18.16 -63 25 32.4","Cru","--","--","14.7 - 15.2 U"
"NSV 5890","--","12 43 26.05 -63 11 01.6","Cru","--","--","14.8 - 15.3 U"
"NSV 5893","--","12 43 36.62 -64 10 01.0","Cru","--","--","15.3 - 15.8 U"
"NSV 5894","--","12 43 41.34 -64 22 55.5","Cru","--","--","14.5 - 15.0 U"
"NSV 5895","--","12 43 41.50 -64 48 01.1","Mus","--","--","14.5 - 15.0 U"
"NSV 5896","--","12 43 32.49 -33 48 02.9","Cen","--","--","10.5 - ? V"
"NSV 5898","--","12 43 33.01 -13 51 34.4","Crv","--","--","7.10 - ? V"
"NSV 5899","--","12 43 33.24 +12 11 31.7","Vir","--","--","11.5 - ? p"
"NSV 59","000-BBB-212","00 09 31.53 +51 32 05.7","Cas","--","--","12.1 - ? V"
"NSV 5900","000-BDB-117","12 44 03.10 -63 36 34.9","Cru","--","--","14.4 - 15.4 U"
"NSV 5905","--","12 44 17.14 -64 48 51.3","Mus","--","--","16.0 - <17 U"
"NSV 591","--","01 42 17.54 +45 27 37.1","And","--","--","18.2 - ? p"
"NSV 5910","--","12 44 30.59 -64 55 54.6","Mus","--","--","14.8 - 16.3 U"
"NSV 5911","--","12 44 30.81 -64 34 17.9","Cru","--","--","14.0 - 15.0 U"
"NSV 5912","--","12 44 34.34 -64 50 18.4","Mus","--","--","14.4 - 14.9 U"
"NSV 5915","--","12 44 35.01 -62 36 16.2","Cru","--","--","14.7 - 15.2 U"
"NSV 5917","--","12 44 39.35 -64 16 38.0","Cru","--","--","13.5 - 14.0 U"
"NSV 5920","--","12 44 56.86 -63 26 32.1","Cru","--","--","14.5 - 15.0 U"
"NSV 5921","--","12 44 58.47 -64 01 06.6","Cru","--","--","14.0 - 15.0 U"
"NSV 5925","--","12 45 51.63 -64 00 35.5","Cru","--","--","15.0 - 15.5 U"
"NSV 5928","--","12 45 58.38 -62 53 20.7","Cru","--","--","14.9 - 15.4 U"
"NSV 5929","--","12 46 04.77 -62 59 06.2","Cru","--","--","15.3 - 15.8 U"
"NSV 5933","--","12 46 39.66 -64 25 26.0","Cru","--","--","13.0 - 13.5 U"
"NSV 5934","--","12 46 42.38 -64 46 52.1","Mus","--","--","13.8 - 14.3 U"
"NSV 5936","--","12 46 59.68 -64 51 28.1","Mus","--","--","14.3 - 14.8 U"
"NSV 5937","--","12 47 14.43 -64 34 24.9","Cru","--","--","15.5 - 16.0 U"
"NSV 5939","--","12 47 31.20 -63 26 07.0","Cru","--","--","15.0 - 16.0 U"
"NSV 594","--","01 42 25.07 +45 36 19.6","And","--","--","18.0 - ? p"
"NSV 5940","--","12 47 30.75 -64 19 25.4","Cru","--","--","14.5 - <17 U"
"NSV 5942","--","12 47 50.95 -63 34 04.0","Cru","--","--","15.0 - 15.5 U"
"NSV 5945","--","12 48 12.90 -63 32 50.6","Cru","--","--","16.0 - 16.5 U"
"NSV 5948","--","12 47 32.27 +59 17 52.3","UMa","--","--","12.0 - ? V"
"NSV 5952","--","12 48 34.58 -64 29 58.8","Cru","--","--","14.5 - 15.0 U"
"NSV 5953","--","12 48 34.08 -62 59 51.9","Cru","--","--","14.8 - 15.3 U"
"NSV 5955","--","12 48 42.60 -64 32 53.3","Cru","--","--","14.6 - 15.1 U"
"NSV 5956","--","12 47 03.58 +81 42 12.6","Cam","--","--","9.0 - ? V"
"NSV 5957","--","12 48 14.72 +61 50 58.0","UMa","--","--","8.5 - ? V"
"NSV 596","000-BCX-616","01 42 36.75 +48 24 59.2","And","--","--","7.72 - ? V"
"NSV 5961","--","12 49 19.80 -62 09 21.1","Cru","--","--","14.0 - <17 U"
"NSV 5962","--","12 49 09.57 +07 38 16.3","Vir","--","--","9.6 - ? V"
"NSV 5966","--","12 49 44.20 -63 46 37.4","Cru","--","--","14.0 - 15.0 U"
"NSV 5967","--","12 49 43.95 -62 37 52.7","Cru","--","--","14.2 - 15.2 U"
"NSV 5968","--","12 49 46.09 -64 41 56.5","Mus","--","--","14.6 - 15.1 U"
"NSV 5969","--","12 49 52.24 -63 05 49.3","Cru","--","--","14.0 - 15.0 U"
"NSV 5970","000-BBT-284","12 49 27.09 +05 10 19.7","Vir","--","--","7.51 - ? V"
"NSV 5971","--","12 49 55.52 -64 45 01.2","Mus","--","--","13.9 - 14.9 U"
"NSV 5972","--","12 50 11.19 -64 51 04.4","Mus","--","--","14.4 - 14.9 U"
"NSV 5975","--","12 49 59.83 +39 11 02.1","CVn","--","--","10.9 - ? V"
"NSV 5977","--","12 50 20.80 -64 23 13.2","Cru","--","--","13.3 - 14.8 U"
"NSV 5979","--","12 50 31.83 -64 51 29.3","Mus","--","--","14.7 - 15.2 U"
"NSV 5982","--","12 50 46.39 -64 22 56.8","Cru","--","--","13.8 - 14.8 U"
"NSV 5984","--","12 50 54.45 -63 52 44.3","Cru","--","--","13.8 - 14.3 U"
"NSV 5986","--","12 50 58.26 -64 33 48.7","Cru","--","--","14.5 - 15.0 U"
"NSV 5995","--","12 51 59.20 -63 50 26.0","Cru","--","--","13.2 - 14.2 U"
"NSV 5998","--","12 51 25.13 +27 02 46.5","Com","--","--","16.5 - ? p"
"NSV 6000","--","12 52 16.54 -63 46 44.6","Cru","--","--","14.5 - 15.0 U"
"NSV 6002","--","12 52 27.27 -63 11 24.2","Cru","--","--","14.3 - 15.8 U"
"NSV 6004","--","12 52 34.84 -23 49 42.4","Hya","--","--","12.2 - ? p"
"NSV 6005","--","12 52 58.40 -63 47 51.8","Cru","--","--","14.3 - 15.8 U"
"NSV 6015","--","12 53 50.67 -62 39 15.1","Cru","--","--","14.0 - 14.5 U"
"NSV 6018","--","12 54 43.17 -63 38 10.6","Cru","--","--","14.3 - 14.8 U"
"NSV 6019","--","12 54 18.66 -11 38 54.8","Vir","--","--","5.99 - ? V"
"NSV 6022","--","12 55 16.44 +17 41 31.0","Com","--","--","9.53 - ? V"
"NSV 6023","--","12 55 07.56 +44 23 14.1","CVn","--","--","12.4 - ? p"
"NSV 6030","--","12 56 26.56 -00 57 16.5","Vir","--","--","6.69 - ? V"
"NSV 6043","--","12 58 40.91 -36 16 30.7","Cen","--","--","7.0 - ? V"
"NSV 606","--","01 42 55.58 -09 40 32.5","Cet","--","--","16.1 - ? p"
"NSV 6090","--","13 05 55.52 +63 27 28.9","Dra","--","--","12.1 - ? V"
"NSV 6092","--","13 06 35.08 -41 35 18.4","Cen","--","--","5.59 - ? V"
"NSV 6094","--","13 06 15.38 +20 43 43.9","Com","--","--","13.2 - ? V"
"NSV 6097","--","13 07 02.39 -58 48 19.7","Cen","--","--","7.1 - ? V"
"NSV 6098","--","13 06 41.39 +29 53 44.8","Com","--","--","12.9 - ? V"
"NSV 6102","--","13 07 34.36 +12 16 24.4","Vir","--","--","9.14 - ? V"
"NSV 6107","--","13 07 48.63 +29 18 48.6","Com","--","--","17.3 - ? B"
"NSV 6109","--","13 08 13.49 +38 44 20.2","CVn","--","--","8.39 - ? V"
"NSV 6110","--","13 08 04.83 +68 21 53.1","Dra","--","--","12.0 - ? V"
"NSV 6114","--","13 09 45.28 -10 19 45.6","Vir","--","--","5.93 - ? V"
"NSV 612","--","01 44 58.34 +10 59 08.8","Psc","--","--","9.6 - ? p"
"NSV 6120","--","13 10 49.85 -52 54 27.2","Cen","--","--","7.7 - ? p"
"NSV 6125","--","13 10 50.33 +29 26 41.1","Com","--","--","13.3 - ? p"
"NSV 6142","--","13 13 29.17 -66 54 07.5","Mus","--","--","10.4 - ? V"
"NSV 6153","--","13 12 25.43 +80 28 16.7","Cam","--","--","6.27 - ? V"
"NSV 6168","--","13 17 29.00 -42 55 58.7","Cen","--","--","8.2 - ? p"
"NSV 6174","--","13 17 46.36 +30 22 12.6","Com","--","--","13.0 - ? p"
"NSV 618","--","01 46 23.07 -09 30 53.5","Cet","--","--","9.9 - ? V"
"NSV 6182","--","13 19 32.96 -43 06 07.6","Cen","--","--","11.0 - ? V"
"NSV 6188","--","13 20 01.00 -03 19 18.0","Vir","Minor planet","--","12 - <16 p"
"NSV 6196","000-BBT-563","13 20 41.58 +02 56 31.1","Vir","--","--","7.29 - ? V"
"NSV 6197","--","13 19 57.38 +59 20 49.1","UMa","--","--","13.8: - ? p"
"NSV 6198","--","13 20 38.76 +36 40 32.5","CVn","--","--","8.8 - ? p"
"NSV 62","000-BBB-223","00 09 54.55 +51 36 15.5","Cas","--","--","12.2 - ? V"
"NSV 6204","--","13 20 13.38 +59 12 40.6","UMa","--","--","13.7 - ? V"
"NSV 6215","--","13 22 24.40 +59 14 11.4","UMa","--","--","12.5 - ? p"
"NSV 6217","--","13 23 44.21 -14 02 45.7","Vir","--","--","11.7 - ? V"
"NSV 6225","--","13 23 56.42 +54 55 18.2","UMa","--","--","3.91 - ? V"
"NSV 6228","--","13 24 49.53 -33 26 56.1","Cen","--","--","8.8 - ? V"
"NSV 624","--","01 49 19.24 +46 23 41.5","And","--","--","13.2 - ? p"
"NSV 625","--","01 52 09.93 +80 50 19.7","Cep","CST","--","11.2 - ? V"
"NSV 6257","--","13 27 13.87 +48 00 05.9","CVn","--","--","9.5 - ? p"
"NSV 626","--","01 50 00.96 +14 32 08.8","Ari","--","--","10.1 - ? p"
"NSV 6273","--","13 29 50.42 -42 59 08.3","Cen","--","--","9.27 - ? V"
"NSV 628","--","01 50 44.81 +36 03 04.8","And","--","--","8.0 - ? p"
"NSV 6281","000-BBT-672","13 30 25.72 -06 28 13.0","Vir","CST","--","6.10 - ? V"
"NSV 6283","--","13 31 02.66 -39 24 26.3","Cen","--","--","3.89 - ? V"
"NSV 629","--","01 50 58.92 +52 43 30.3","Per","CST","--","12.84 - ? V"
"NSV 630","--","01 50 29.61 -00 18 00.9","Cet","--","--","13.5 - ? p"
"NSV 631","--","02 30 36.08 +89 15 39.2","UMi","--","--","8.8 - ? V"
"NSV 6310","--","13 33 28.29 -01 53 43.5","Vir","--","--","13.7 - ? p"
"NSV 6315","000-BCX-835","13 34 43.58 -33 18 39.1","Cen","--","--","6.44 - ? V"
"NSV 6316","000-BCX-836","13 34 40.45 -13 12 51.5","Vir","--","--","5.92 - ? V"
"NSV 632","000-BBD-297","01 51 26.62 +54 55 28.9","Per","CST","--","7.15 - ? V"
"NSV 6330","--","13 35 12.09 +37 16 11.4","CVn","CST","--","9.67 - ? V"
"NSV 6332","--","13 35 24.54 +22 48 20.5","Com","--","--","7.97 - ? V"
"NSV 6336","--","13 35 39.48 +28 38 01.8","CVn","CST","--","15.49 - ? V"
"NSV 6345","--","13 38 24.84 -58 18 42.4","Cen","--","--","7.98 - ? V"
"NSV 6353","000-BBT-799","13 37 26.14 +51 48 17.8","UMa","CST","--","12.38 - ? V"
"NSV 6361","000-BCX-837","13 38 04.79 +72 45 06.0","UMi","--","--","10.2 - ? p"
"NSV 6373","--","13 40 54.57 -48 39 31.7","Cen","--","--","12.6 - ? p"
"NSV 640","--","01 52 53.94 +53 52 14.8","Per","--","--","10.0 - ? p"
"NSV 6401","--","13 43 03.57 +03 32 14.5","Vir","--","--","8.0 - ? V"
"NSV 6408","--","13 43 38.12 +14 10 27.9","Boo","--","--","8.95 - ? V"
"NSV 6410","--","13 44 27.31 -51 44 52.9","Cen","--","--","9.7 - ? V"
"NSV 6415","--","13 44 46.14 -52 17 11.3","Cen","--","--","9.8 - ? V"
"NSV 643","--","01 52 18.66 -41 35 42.6","Phe","--","--","12.0 - ? p"
"NSV 6433","--","13 46 29.24 -51 42 36.9","Cen","--","--","9.5 - ? p"
"NSV 6434","000-BKS-942","13 46 39.38 -51 25 57.9","Cen","CST","--","4.64 - ? V"
"NSV 645","--","01 52 53.02 -09 43 59.1","Cet","--","--","15.8 - ? p"
"NSV 6459","--","13 50 30.20 -59 24 53.3","Cen","--","--","9.0 - ? V"
"NSV 6476","--","13 52 53.34 -28 29 21.7","Hya","Galaxy","--","13.0 - ? p"
"NSV 6486","000-BDB-262","13 53 55.80 +11 03 49.8","Boo","--","--","10.9 - ? p"
"NSV 6498","000-BBV-068","13 56 00.39 -03 39 43.0","Vir","--","--","7.8 - ? p"
"NSV 6503","--","13 56 49.16 +25 54 57.2","Boo","--","--","13 - ? p"
"NSV 6508","--","13 56 52.28 +53 53 38.6","UMa","--","--","9.2 - ? p"
"NSV 6510","--","13 59 58.41 -65 32 31.6","Cir","--","--","7.58 - ? V"
"NSV 6511","--","13 58 10.80 +48 52 44.4","UMa","--","--","9.7 - ? p"
"NSV 6513","--","13 59 28.32 -43 42 11.0","Cen","--","--","7.95 - ? V"
"NSV 6514","000-BCX-844","13 59 00.71 +44 49 51.4","CVn","--","--","10.3 - ? p"
"NSV 6516","--","13 59 53.67 +31 28 05.0","CVn","CST","--","11.86 - ? V"
"NSV 6522","--","14 01 06.99 +38 13 08.1","CVn","--","--","10.3 - ? p"
"NSV 653","--","01 53 23.71 -05 49 41.0","Cet","--","--","16.1 - ? p"
"NSV 6533","--","14 03 43.14 +02 42 38.7","Vir","--","--","9.0 - ? V"
"NSV 6537","--","14 04 09.21 +20 44 31.4","Boo","--","--","11.5 - ? V"
"NSV 655","--","01 53 29.84 -13 52 28.6","Cet","--","--","9.9 - ? V"
"NSV 6556","000-BJX-809","14 07 03.65 +20 44 40.6","Boo","CST","--","10.77 - ? V"
"NSV 6558","--","14 07 54.31 +15 20 14.1","Boo","--","--","10.4 - ? p"
"NSV 657","--","01 54 22.15 +08 46 51.8","Psc","--","--","7.9 - ? p"
"NSV 6579","--","14 11 20.02 +10 36 09.5","Boo","--","--","9.8 - ? p"
"NSV 6583","--","14 11 57.20 +19 06 45.0","Boo","--","--","9.5 - <13 p"
"NSV 6586","--","14 12 29.15 +28 41 57.7","Boo","--","--","13.3: - ? p"
"NSV 6591","--","14 13 20.86 +26 57 23.6","Boo","--","--","14.3 - ? p"
"NSV 6596","--","14 14 09.09 -08 31 06.7","Vir","--","--","8.4 - ? V"
"NSV 6599","--","14 14 41.90 +19 08 03.0","Boo","--","--","9.5 - <13 p"
"NSV 6608","--","14 16 30.16 -03 11 46.7","Vir","--","--","6.15 - ? V"
"NSV 6619","--","14 18 13.10 +39 05 17.2","Boo","--","--","10.47 - ? V"
"NSV 6623","--","14 18 59.32 -07 12 45.7","Vir","--","--","9.7 - ? V"
"NSV 6626","--","14 20 18.39 -53 33 59.8","Lup","--","--","10.15 - ? V"
"NSV 6634","--","14 20 07.56 +19 44 35.0","Boo","CST","--","10.84 - ? V"
"NSV 6645","000-BBV-340","14 21 27.38 +53 53 50.9","Boo","--","--","8.2 - ? V"
"NSV 6653","000-BBV-358","14 23 06.82 +25 20 17.4","Boo","--","--","6.22 - ? V"
"NSV 6654","--","14 24 00.88 +08 14 38.3","Boo","CST","--","5.94 - ? V"
"NSV 6661","000-BBV-384","14 24 37.02 +53 41 46.8","Boo","CST","--","12.11 - ? V"
"NSV 6664","--","14 26 00.14 -30 17 09.9","Cen","--","--","8.25 - ? V"
"NSV 6666","--","14 26 41.92 -50 20 30.6","Lup","CST","--","11.70 - ? V"
"NSV 6667","--","14 25 46.65 +23 37 13.7","Boo","--","--","9.97 - ? V"
"NSV 667","--","01 55 53.83 +01 50 59.9","Cet","--","--","6.01 - ? V"
"NSV 6671","000-BDB-314","14 26 43.87 +16 24 51.3","Boo","--","--","8.16 - ? V"
"NSV 668","000-BBD-320","01 56 20.10 +42 17 11.9","And","--","--","10.5 - ? V"
"NSV 6682","000-BBV-363","14 23 20.93 +83 48 05.0","UMi","--","--","10.7 - ? V"
"NSV 6686","--","14 30 05.76 +06 17 12.6","Vir","--","--","8.7 - ? V"
"NSV 6687","000-BBV-426","14 27 31.54 +75 41 45.6","UMi","CST","--","4.25 - ? V"
"NSV 6688","000-BBV-467","14 30 06.02 +32 03 24.1","Boo","--","--","11.2 (0.3) V"
"NSV 6711","--","14 34 03.07 +39 07 28.0","Boo","--","--","13.1 - ? p"
"NSV 6713","--","14 33 58.86 +39 16 23.6","Boo","--","--","13.0 - ? p"
"NSV 6715","--","14 34 22.56 +39 34 44.4","Boo","--","--","15.3 - ? p"
"NSV 6716","--","14 34 26.27 +39 05 07.8","Boo","--","--","12.6 - ? p"
"NSV 6718","000-BCX-851","14 34 38.50 +36 37 33.8","Boo","--","--","6.02 - ? V"
"NSV 6725","--","14 36 06.65 -34 54 21.6","Cen","--","--","7.6 - ? V"
"NSV 6726","--","14 36 04.05 -24 35 03.7","Lib","--","--","9.7 - ? p"
"NSV 6742","--","14 38 06.63 -08 40 31.6","Lib","--","--","8.7 - ? V"
"NSV 6763","--","14 40 43.93 +16 25 03.9","Boo","--","--","5.88 - ? V"
"NSV 6765","--","14 41 01.58 +18 56 29.7","Boo","--","--","10.8 - ? p"
"NSV 6766","--","14 41 08.95 +13 43 41.9","Boo","--","--","3.78 - ? V"
"NSV 6769","--","14 41 38.75 +08 09 42.3","Boo","--","--","4.85 - ? V"
"NSV 6778","--","14 43 39.50 -19 33 19.2","Lib","--","--","11.7 - ? V"
"NSV 6779","--","14 44 16.42 -19 40 40.1","Lib","--","--","11.6 - ? V"
"NSV 6781","--","14 44 29.16 -16 52 28.9","Lib","--","--","8.1 - ? V"
"NSV 6782","--","14 45 06.80 -42 33 38.0","Lup","--","--","10.6 - ? V"
"NSV 6783","--","14 44 56.04 -00 04 44.6","Vir","--","--","13.0 - ? p"
"NSV 6791","--","14 45 45.55 +17 30 17.7","Boo","--","--","10.1 - ? p"
"NSV 6794","--","14 46 14.92 +01 53 34.4","Vir","CST","--","3.73 - ? V"
"NSV 6807","--","14 49 07.06 -56 40 04.2","Cir","--","--","6.22 - ? V"
"NSV 6810","--","14 48 12.90 +18 40 41.2","Boo","--","--","10.2 - ? p"
"NSV 6815","--","14 48 53.26 +05 57 15.9","Vir","--","--","6.82 - ? V"
"NSV 6818","--","14 48 37.89 +49 44 36.7","Boo","--","--","9.7 - ? p"
"NSV 682","--","01 58 22.08 +49 47 05.7","Per","CST","--","11.08 - ? V"
"NSV 6821","--","14 49 42.17 +07 59 12.3","Boo","--","--","6.99 - ? V"
"NSV 6824","--","14 49 30.75 +41 21 51.1","Boo","--","--","9.9 - ? V"
"NSV 683","--","01 57 59.41 -02 03 34.1","Cet","--","--","6.53 - ? V"
"NSV 6831","--","14 50 52.06 +37 22 42.0","Boo","--","--","9.9 - ? p"
"NSV 6840","--","14 53 08.76 -44 49 51.8","Lup","--","--","10.2 - ? p"
"NSV 6845","--","14 52 10.41 +44 27 32.1","Boo","--","--","13.9 - ? p"
"NSV 686","--","01 58 48.05 +14 20 26.6","Ari","--","--","10.0 - ? p"
"NSV 6860","--","14 56 48.68 +07 30 10.1","Boo","--","--","8.6 - ? V"
"NSV 6869","000-BCX-854","14 57 23.20 +25 19 25.1","Boo","--","--","7.32 - ? V"
"NSV 6874","--","14 58 38.90 -03 58 15.0","Lib","--","--","? - 14.0 V"
"NSV 6875","--","14 58 20.61 +43 23 05.5","Boo","--","--","10.2 - ? p"
"NSV 6886","--","14 59 41.90 +55 35 19.4","Dra","--","--","9.8 - ? p"
"NSV 689","--","02 03 34.37 +82 33 06.6","Cep","--","--","7.9 - ? V"
"NSV 6899","000-BCX-855","15 01 27.09 +60 12 16.1","Dra","--","--","5.93 - ? V"
"NSV 6908","--","15 03 06.05 +35 12 20.9","Boo","--","--","5.51 - ? V"
"NSV 691","--","02 00 09.16 +03 05 49.3","Psc","--","--","5.88 - ? V"
"NSV 692","--","02 00 52.93 +51 22 52.0","Per","--","--","9.9 - ? p"
"NSV 6924","--","15 05 33.49 +11 37 52.5","Boo","--","--","8.7 - ? p"
"NSV 6932","--","15 07 56.76 -65 16 31.6","TrA","--","--","6.16 - ? V"
"NSV 6934","--","15 05 25.84 +48 09 03.5","Boo","--","--","5.57 - ? V"
"NSV 694","--","02 01 57.29 +70 54 24.9","Cas","--","--","6.37 - ? V"
